Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Diode,D3_SMD,2.63,30.34,90.0,bottom
D2,Diode,D3_SMD,23.13,33.74,90.0,bottom
D3,Diode,D3_SMD,41.13,44.79,90.0,bottom
D4,Diode,D3_SMD,59.13,47.34,90.0,bottom
D5,Diode,D3_SMD,77.13,42.24,90.0,bottom
D6,Diode,D3_SMD,95.13,39.69,90.0,bottom
D7,Diode,D3_SMD,2.63,13.34,90.0,bottom
D8,Diode,D3_SMD,23.13,16.74,90.0,bottom
D9,Diode,D3_SMD,41.13,27.79,90.0,bottom
D10,Diode,D3_SMD,59.13,30.34,90.0,bottom
D11,Diode,D3_SMD,77.13,25.24,90.0,bottom
D12,Diode,D3_SMD,95.13,22.69,90.0,bottom
D13,Diode,D3_SMD,2.63,-3.66,90.0,bottom
D14,Diode,D3_SMD,23.13,-0.26,90.0,bottom
D15,Diode,D3_SMD,41.13,10.79,90.0,bottom
D16,Diode,D3_SMD,59.13,13.34,90.0,bottom
D17,Diode,D3_SMD,77.13,8.24,90.0,bottom
D18,Diode,D3_SMD,95.13,5.69,90.0,bottom
D19,Diode,D3_SMD,84.976535,-12.904633,100.0,bottom
D20,Diode,D3_SMD,103.869599,-18.483788,110.0,bottom
D21,Diode,D3_SMD,121.57,-27.255,120.0,bottom
H1,Mounting_Hole,breakaway-hole,10.23,-0.198575,0.0,top
H2,Mounting_Hole,breakaway-hole,10.23,-1.165,0.0,top
H3,Mounting_Hole,breakaway-hole,10.22,-2.125,0.0,top
H4,Mounting_Hole,breakaway-hole,10.18,-3.528575,0.0,top
H5,Mounting_Hole,breakaway-hole,10.27,15.023125,0.0,top
H6,Mounting_Hole,breakaway-hole,10.27,14.091425,0.0,top
H7,Mounting_Hole,breakaway-hole,10.28,13.141425,0.0,top
H8,Mounting_Hole,breakaway-hole,10.21,9.761425,0.0,top
H9,Mounting_Hole,breakaway-hole,10.25,27.421425,0.0,top
H10,Mounting_Hole,breakaway-hole,10.27,12.171425,0.0,top
H11,Mounting_Hole,breakaway-hole,10.23,10.771425,0.0,top
H12,Mounting_Hole,breakaway-hole,10.18,-4.508575,0.0,top
H13,Mounting_Hole,breakaway-hole,10.24,28.361425,0.0,top
H14,Mounting_Hole,breakaway-hole,10.21,29.241425,0.0,top
H15,Mounting_Hole,breakaway-hole,10.21,-5.448575,0.0,top
H16,Mounting_Hole,breakaway-hole,10.2,31.485,0.0,top
H17,Mounting_Hole,breakaway-hole,10.22,32.411425,0.0,top
H18,Mounting_Hole,breakaway-hole,10.2,30.601425,0.0,top
S1,Keyswitch,Choc,0.0,34.0,0.0,top
S2,Keyswitch,Choc,20.5,37.4,0.0,top
S3,Keyswitch,Choc,38.5,48.45,0.0,top
S4,Keyswitch,Choc,56.5,51.0,0.0,top
S5,Keyswitch,Choc,74.5,45.9,0.0,top
S6,Keyswitch,Choc,92.5,43.35,0.0,top
S7,Keyswitch,Choc,0.0,17.0,0.0,top
S8,Keyswitch,Choc,20.5,20.4,0.0,top
S9,Keyswitch,Choc,38.5,31.45,0.0,top
S10,Keyswitch,Choc,56.5,34.0,0.0,top
S11,Keyswitch,Choc,74.5,28.9,0.0,top
S12,Keyswitch,Choc,92.5,26.35,0.0,top
S13,Keyswitch,Choc,0.0,-0.0,0.0,top
S14,Keyswitch,Choc,20.5,3.4,0.0,top
S15,Keyswitch,Choc,38.5,14.45,0.0,top
S16,Keyswitch,Choc,56.5,17.0,0.0,top
S17,Keyswitch,Choc,74.5,11.9,0.0,top
S18,Keyswitch,Choc,92.5,9.35,0.0,top
S19,Keyswitch,Choc,83.022042,-8.843541,-10.0,top
S20,Keyswitch,Choc,102.65,-14.145,-20.0,top
S21,Keyswitch,Choc,120.927036,-22.753248,-30.0,top
SW1,Switch,TACT_SWITCH_TVBP06,120.57,1.735,180.0,top
U1,Arduino_Pro_Micro,ProMicro_rev2,114.219407,30.777128,0.0,top
U2,TRRS,TRRS-PJ-320A-dual,119.93,8.385,-90.0,top
