Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,Diode,D3_SMD,-118.297036,52.817848,90.0,bottom
D2,Diode,D3_SMD,-97.797036,56.217848,90.0,bottom
D3,Diode,D3_SMD,-79.797036,67.267848,90.0,bottom
D4,Diode,D3_SMD,-61.797036,69.817848,90.0,bottom
D5,Diode,D3_SMD,-43.797036,64.717848,90.0,bottom
D6,Diode,D3_SMD,-25.797036,62.167848,90.0,bottom
D7,Diode,D3_SMD,-118.297036,35.817848,90.0,bottom
D8,Diode,D3_SMD,-97.797036,39.217848,90.0,bottom
D9,Diode,D3_SMD,-79.797036,50.267848,90.0,bottom
D10,Diode,D3_SMD,-61.797036,52.817848,90.0,bottom
D11,Diode,D3_SMD,-43.797036,47.717848,90.0,bottom
D12,Diode,D3_SMD,-25.797036,45.167848,90.0,bottom
D13,Diode,D3_SMD,-118.297036,18.817848,90.0,bottom
D14,Diode,D3_SMD,-97.797036,22.217848,90.0,bottom
D15,Diode,D3_SMD,-79.797036,33.267848,90.0,bottom
D16,Diode,D3_SMD,-61.797036,35.817848,90.0,bottom
D17,Diode,D3_SMD,-43.797036,30.717848,90.0,bottom
D18,Diode,D3_SMD,-25.797036,28.167848,90.0,bottom
D19,Diode,D3_SMD,-39.888527,18.146913,280.0,bottom
D20,Diode,D3_SMD,-19.31788,13.061543,290.0,bottom
D21,Diode,D3_SMD,-0.424672,4.624929,300.0,bottom
H1,Mounting_Hole,breakaway-hole,-110.697036,22.554673,0.0,top
H2,Mounting_Hole,breakaway-hole,-110.697036,21.588248,0.0,top
H3,Mounting_Hole,breakaway-hole,-110.707036,20.628248,0.0,top
H4,Mounting_Hole,breakaway-hole,-110.727036,19.654673,0.0,top
H5,Mounting_Hole,breakaway-hole,-110.657036,37.776373,0.0,top
H6,Mounting_Hole,breakaway-hole,-110.657036,36.844673,0.0,top
H7,Mounting_Hole,breakaway-hole,-110.647036,35.894673,0.0,top
H8,Mounting_Hole,breakaway-hole,-110.717036,32.514673,0.0,top
H9,Mounting_Hole,breakaway-hole,-110.677036,50.174673,0.0,top
H10,Mounting_Hole,breakaway-hole,-110.657036,34.924673,0.0,top
H11,Mounting_Hole,breakaway-hole,-110.697036,33.524673,0.0,top
H12,Mounting_Hole,breakaway-hole,-110.727036,18.674673,0.0,top
H13,Mounting_Hole,breakaway-hole,-110.687036,51.114673,0.0,top
H14,Mounting_Hole,breakaway-hole,-110.717036,51.994673,0.0,top
H15,Mounting_Hole,breakaway-hole,-110.717036,17.304673,0.0,top
H16,Mounting_Hole,breakaway-hole,-110.727036,54.238248,0.0,top
H17,Mounting_Hole,breakaway-hole,-110.707036,55.164673,0.0,top
H18,Mounting_Hole,breakaway-hole,-110.727036,53.354673,0.0,top
S1,Keyswitch,Choc,-120.927036,56.753248,0.0,top
S2,Keyswitch,Choc,-100.427036,60.153248,0.0,top
S3,Keyswitch,Choc,-82.427036,71.203248,0.0,top
S4,Keyswitch,Choc,-64.427036,73.753248,0.0,top
S5,Keyswitch,Choc,-46.427036,68.653248,0.0,top
S6,Keyswitch,Choc,-28.427036,66.103248,0.0,top
S7,Keyswitch,Choc,-120.927036,39.753248,0.0,top
S8,Keyswitch,Choc,-100.427036,43.153248,0.0,top
S9,Keyswitch,Choc,-82.427036,54.203248,0.0,top
S10,Keyswitch,Choc,-64.427036,56.753248,0.0,top
S11,Keyswitch,Choc,-46.427036,51.653248,0.0,top
S12,Keyswitch,Choc,-28.427036,49.103248,0.0,top
S13,Keyswitch,Choc,-120.927036,22.652848,0.0,top
S14,Keyswitch,Choc,-100.427036,26.052848,0.0,top
S15,Keyswitch,Choc,-82.427036,37.102848,0.0,top
S16,Keyswitch,Choc,-64.427036,39.652848,0.0,top
S17,Keyswitch,Choc,-46.427036,34.552848,0.0,top
S18,Keyswitch,Choc,-28.427036,32.002848,0.0,top
S19,Keyswitch,Choc,-38.312861,14.047738,170.0,top
S20,Keyswitch,Choc,-18.494056,8.667723,160.0,top
S21,Keyswitch,Choc,-0.007036,-0.001752,150.0,top
SW1,Switch,TACT_SWITCH_TVBP06,-0.357036,24.488248,180.0,top
U1,Arduino_Pro_Micro,ProMicro_rev2,-6.757629,56.440376,0.0,top
U2,TRRS,TRRS-PJ-320A-dual,-0.997036,31.138248,-90.0,top
